order_month,sales,profit,order_month_dt
2019-01,211140.34,36095.42,2019-01-01
2019-02,210999.17,37522.77,2019-02-01
2019-03,200868.05,32838.72,2019-03-01
2019-04,185641.49,30932.52,2019-04-01
2019-05,233010.38,39482.0,2019-05-01
2019-06,185908.2,32036.35,2019-06-01
2019-07,214885.75,37039.66,2019-07-01
2019-08,217075.82,35660.78,2019-08-01
2019-09,181249.86,33960.43,2019-09-01
2019-10,213697.97,34915.91,2019-10-01
2019-11,203195.4,35675.38,2019-11-01
2019-12,191850.04,31605.57,2019-12-01
2020-01,246796.47,41910.59,2020-01-01
2020-02,215939.34,37088.15,2020-02-01
2020-03,184466.33,30349.75,2020-03-01
2020-04,185535.39,33755.76,2020-04-01
2020-05,217094.75,35484.56,2020-05-01
2020-06,215488.65,35643.68,2020-06-01
2020-07,215300.43,38417.2,2020-07-01
2020-08,231044.24,38961.97,2020-08-01
2020-09,232536.92,39619.51,2020-09-01
2020-10,256438.71,41713.2,2020-10-01
2020-11,186159.58,32239.71,2020-11-01
2020-12,208394.64,33061.34,2020-12-01
2021-01,203274.83,34097.16,2021-01-01
2021-02,204491.49,38025.54,2021-02-01
2021-03,220185.23,37047.7,2021-03-01
2021-04,202913.45,36167.5,2021-04-01
2021-05,198171.47,33382.92,2021-05-01
2021-06,177913.2,30731.41,2021-06-01
2021-07,218647.67,39754.29,2021-07-01
2021-08,186927.64,31645.76,2021-08-01
2021-09,196119.37,32796.52,2021-09-01
2021-10,236856.92,39555.76,2021-10-01
2021-11,191244.02,28866.71,2021-11-01
2021-12,216541.67,35074.55,2021-12-01
2022-01,214587.69,40464.49,2022-01-01
2022-02,193525.0,32115.55,2022-02-01
2022-03,265606.67,48558.67,2022-03-01
2022-04,193169.36000000002,31359.65,2022-04-01
2022-05,215589.24,39623.15,2022-05-01
2022-06,225231.31,38297.75,2022-06-01
2022-07,198505.13999999998,33571.79,2022-07-01
2022-08,197907.76,35401.6,2022-08-01
2022-09,218424.56,35387.41,2022-09-01
2022-10,186407.79,31955.74,2022-10-01
2022-11,190864.79,31777.63,2022-11-01
2022-12,235891.76,39510.159999999996,2022-12-01
